entity1,entity2,label,raw_response,prediction,correct
microsoft visual studio test agent 2005 cd 1 processor license microsoft software 5099.0,individual software professor teaches microsoft office 2007 29.99,NO,"Expert_A_reason: The first entity is a Microsoft Visual Studio Test Agent software license, while the second is an Individual Software product for teaching Microsoft Office, so they are different products from different vendors.  
Expert_A_vote: NO  
Expert_B_reason: The entities refer to different software products, with one being a Microsoft development tool and the other an educational tool for Microsoft Office from a different company.  
Expert_B_vote: NO  
Expert_C_reason: The products have different names, purposes, and manufacturers, indicating they are not the same entity.  
Expert_C_vote: NO  
Vote_Count: 0/3 YES  
Final_Decision: NO",NO,True
adobe dreamweaver cs3 [ mac ] adobe 399.0,adobe cs3 web premium 1659.99,NO,"Expert_A_reason: Entity-1 refers specifically to Adobe Dreamweaver CS3 for Mac, while Entity-2 refers to the broader Adobe CS3 Web Premium suite, which may include Dreamweaver but is not the same product.
Expert_A_vote: NO
Expert_B_reason: Adobe Dreamweaver CS3 is a single application, whereas Adobe CS3 Web Premium is a suite containing multiple applications, so they are not the same entity.
Expert_B_vote: NO
Expert_C_reason: The first entity is a standalone software (Dreamweaver CS3), while the second is a software suite (CS3 Web Premium) that may include Dreamweaver but is not identical.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
instant immersion spanish 2.0 topics entertainment 29.99,instant immers japanese dlx 2 . 36.11,NO,"Expert_A_reason: The two entities have different languages (Spanish vs Japanese) and different product details.
Expert_A_vote: NO
Expert_B_reason: The product names indicate different languages and versions, so they are not the same entity.
Expert_B_vote: NO
Expert_C_reason: The entities refer to different language learning products (Spanish vs Japanese) with different prices.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
i transfer dvds 2 ipod edition ( win/mac ) me-too-software 29.99,ghost recon gold edition ( dvd-rom ) 20.95,NO,"Expert_A_reason: The first entity is software for transferring DVDs to iPod, while the second is a video game (Ghost Recon Gold Edition) on DVD-ROM.  
Expert_A_vote: NO  
Expert_B_reason: The products have different names, purposes, and prices, indicating they are not the same entity.  
Expert_B_vote: NO  
Expert_C_reason: One is a utility software for media transfer, and the other is a specific video game edition, so they are unrelated.  
Expert_C_vote: NO  
Vote_Count: 0/3 YES  
Final_Decision: NO",NO,True
adobe flash pro cs3 upgrade [ mac ] adobe 199.0,adobe illustrator cs3 ( mac ) 599.0,NO,"Expert_A_reason: The product names are different, with one being ""Adobe Flash Pro CS3"" and the other ""Adobe Illustrator CS3,"" which are distinct software products.
Expert_A_vote: NO
Expert_B_reason: Although both are Adobe products for Mac and CS3 versions, ""Flash Pro"" and ""Illustrator"" are separate applications.
Expert_B_vote: NO
Expert_C_reason: The entities refer to different Adobe software products (Flash Pro vs. Illustrator) despite similar versioning and platform.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
instant immersion ingles audio deluxe topics entertainment,instant immersion spanish deluxe 2.0 topics 39.99,NO,"Expert_A_reason: The first entity is for ""ingles audio deluxe"" (English), while the second is for ""spanish deluxe 2.0"", indicating different language products.  
Expert_A_vote: NO  
Expert_B_reason: The entities refer to different language versions (English vs. Spanish) and have different product details.  
Expert_B_vote: NO  
Expert_C_reason: The main distinction is that one is for English audio and the other for Spanish, so they are not the same entity.  
Expert_C_vote: NO  
Vote_Count: 0/3 YES  
Final_Decision: NO",NO,True
acrobat professional 8 ( windows ) adobe 273.0,web easy ( r ) professional 6 49.99,NO,"Expert_A_reason: The two entities have different product names, versions, and prices, indicating they are distinct software products.
Expert_A_vote: NO
Expert_B_reason: ""Acrobat Professional 8"" by Adobe and ""Web Easy (R) Professional 6"" are clearly different software with no overlap in function or branding.
Expert_B_vote: NO
Expert_C_reason: The entities refer to different software products from different companies with different purposes.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft licenses word olp c ( 05903871 ) microsoft licenses 205.73,microsoft office visio standard 2007 ( pc ) 249.95,NO,"Expert_A_reason: Entity-1 refers to a Microsoft Word license, while Entity-2 refers to Microsoft Office Visio Standard 2007, which are different products.
Expert_A_vote: NO
Expert_B_reason: The first entity is about a Microsoft Word license, and the second is about Microsoft Visio Standard 2007, so they are not the same.
Expert_B_vote: NO
Expert_C_reason: Entity-1 is for Microsoft Word, and Entity-2 is for Microsoft Visio, which are distinct software products.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft onenote 2007 upgrade microsoft 79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en 88.8,NO,"Expert_A_reason: Entity-1 refers to Microsoft OneNote 2007 upgrade, while Entity-2 refers to Microsoft Office Publisher 2007 upgrade, which are different software products.
Expert_A_vote: NO
Expert_B_reason: The first entity is for OneNote 2007, and the second is for Publisher 2007, so they are not the same product.
Expert_B_vote: NO
Expert_C_reason: Although both are Microsoft Office 2007 upgrades, they are for different applications (OneNote vs. Publisher).
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
steinberg nuendo 3 digital audio software steinberg 2499.0,steinberg wavelab studio 6 audio editing software educational discount music production software 149.95,NO,"Expert_A_reason: The two entities refer to different Steinberg software products (Nuendo 3 vs. Wavelab Studio 6) with different purposes and prices.
Expert_A_vote: NO
Expert_B_reason: Although both are Steinberg audio software, they are distinct products with different names and functions.
Expert_B_vote: NO
Expert_C_reason: The product names and versions are different, indicating they are not the same entity.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
quickbooks point-of-sale basic 6.0 intuit 799.95,quickbooks pro 2007 3 user 409.52,NO,"Expert_A_reason: The first entity is a point-of-sale version of QuickBooks, while the second is a standard Pro version, indicating they are different products.  
Expert_A_vote: NO  
Expert_B_reason: The product names, versions, and intended uses are different, so they do not refer to the same entity.  
Expert_B_vote: NO  
Expert_C_reason: One is ""QuickBooks Point-of-Sale Basic 6.0"" and the other is ""QuickBooks Pro 2007 3 User,"" which are distinct products.  
Expert_C_vote: NO  
Vote_Count: 0/3 YES  
Final_Decision: NO",NO,True
microsoft visio standard 2007 microsoft 259.95,microsoft w87-02380 office sbe 2007 win32 400.34,NO,"Expert_A_reason: Entity-1 refers to Microsoft Visio Standard 2007, while Entity-2 refers to Microsoft Office Small Business Edition 2007, which are different products.
Expert_A_vote: NO
Expert_B_reason: The product names and SKUs indicate that one is Visio and the other is Office SBE, so they are not the same entity.
Expert_B_vote: NO
Expert_C_reason: Despite both being Microsoft products from 2007, Visio Standard and Office SBE are distinct software packages.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
quicken 2007 basic intuit 29.95,quicken ( r ) for mac 2007 69.99,NO,"Expert_A_reason: The first entity refers to ""Quicken 2007 Basic"" by Intuit, while the second refers to ""Quicken for Mac 2007,"" which may be a different edition and platform.
Expert_A_vote: NO
Expert_B_reason: The first entity specifies ""Basic"" and does not mention Mac, while the second is for Mac and does not specify ""Basic,"" suggesting they are different products.
Expert_B_vote: NO
Expert_C_reason: The product names differ in edition (""Basic"" vs. unspecified) and platform (Mac vs. unspecified), so they likely refer to different products.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
microsoft office 2004 professional ( mac ) microsoft 499.99,microsoft onenote 2007 ( pc ) 99.95,NO,"Expert_A_reason: The first entity is a full Microsoft Office suite for Mac from 2004, while the second is a single application (OneNote) for PC from 2007, so they are different products.
Expert_A_vote: NO
Expert_B_reason: The products differ in both version, platform, and scope (suite vs. single app), indicating they are not the same entity.
Expert_B_vote: NO
Expert_C_reason: One is a complete Office suite for Mac (2004), the other is just OneNote for PC (2007), so they are not the same.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
steinberg cubase 4 digital audio software steinberg 999.99,migo software digital file shredder 2005 24.58,NO,"Expert_A_reason: The first entity is a digital audio software called Steinberg Cubase 4, while the second is a file shredding software called Migo Software Digital File Shredder 2005, so they are different products.  
Expert_A_vote: NO  
Expert_B_reason: The entities have different names, functions, and prices, indicating they are not the same product.  
Expert_B_vote: NO  
Expert_C_reason: One is audio production software and the other is a file deletion tool, so they do not refer to the same entity.  
Expert_C_vote: NO  
Vote_Count: 0/3 YES  
Final_Decision: NO",NO,True
microsoft works suite 2006 microsoft 99.0,microsoft office 2004 student/teacher 145.99,NO,"Expert_A_reason: The two entities refer to different Microsoft software products (Works Suite 2006 vs. Office 2004 Student/Teacher) with different names and likely different functions.
Expert_A_vote: NO
Expert_B_reason: The product names and versions are distinct, indicating they are separate software suites from Microsoft.
Expert_B_vote: NO
Expert_C_reason: Although both are Microsoft products, they are different suites with different release years and target audiences.
Expert_C_vote: NO
Vote_Count: 0/3 YES
Final_Decision: NO",NO,True
